State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,1/4/2020,"4,578",12/28/2019,"18,523","1,923,741",0.96
Alabama,1/11/2020,"3,629",1/4/2020,"21,143","1,923,741",1.1
Alabama,1/18/2020,"2,483",1/11/2020,"17,402","1,923,741",0.9
Alabama,1/25/2020,"2,129",1/18/2020,"18,390","1,923,741",0.96
Alabama,2/1/2020,"2,170",1/25/2020,"17,284","1,923,741",0.9
Alabama,2/8/2020,"2,176",2/1/2020,"16,745","1,923,741",0.87
Alabama,2/15/2020,"1,981",2/8/2020,"16,571","1,923,741",0.86
Alabama,2/22/2020,"1,735",2/15/2020,"16,059","1,923,741",0.83
Alabama,2/29/2020,"1,575",2/22/2020,"14,721","1,923,741",0.77
Alabama,3/7/2020,"1,663",2/29/2020,"13,657","1,923,741",0.71
Alabama,3/14/2020,"1,819",3/7/2020,"13,070","1,923,741",0.68
Alabama,3/21/2020,"10,892",3/14/2020,"12,487","1,923,741",0.65
Alabama,3/28/2020,"80,984",3/21/2020,"18,083","1,923,741",0.94
Alabama,4/4/2020,"106,739",3/28/2020,"52,176","1,923,741",2.71
Alabama,4/11/2020,"77,515",4/4/2020,"95,325","1,929,897",4.94
Alabama,4/18/2020,"66,432",4/11/2020,"144,327","1,929,897",7.48
Alabama,4/25/2020,"74,966",4/18/2020,"173,855","1,929,897",9.01
Alabama,5/2/2020,"28,985",4/25/2020,"214,684","1,929,897",11.12
Alabama,5/9/2020,"26,666",5/2/2020,"216,856","1,929,897",11.24
Alabama,5/16/2020,"25,150",5/9/2020,"203,677","1,929,897",10.55
Alabama,5/23/2020,"27,919",5/16/2020,"190,205","1,929,897",9.86
Alabama,5/30/2020,"21,335",5/23/2020,"183,565","1,929,897",9.51
Alabama,6/6/2020,"19,949",5/30/2020,"180,245","1,929,897",9.34
Alabama,6/13/2020,"18,367",6/6/2020,"163,982","1,929,897",8.5
Alabama,6/20/2020,"18,671",6/13/2020,"150,002","1,929,897",7.77
Alabama,6/27/2020,"18,338",6/20/2020,"141,450","1,929,897",7.33
Alabama,7/4/2020,"19,056",6/27/2020,"138,272","1,929,897",7.16
Alabama,7/11/2020,"20,563",7/4/2020,"117,388","1,935,262",6.07
Alabama,7/18/2020,"23,676",7/11/2020,"105,644","1,935,262",5.46
Alabama,7/25/2020,"17,437",7/18/2020,"94,069","1,935,262",4.86
Alabama,8/1/2020,"11,690",7/25/2020,"84,070","1,935,262",4.34
Alabama,8/8/2020,"9,467",8/1/2020,"70,412","1,935,262",3.64
Alabama,8/15/2020,"11,047",8/8/2020,"58,275","1,935,262",3.01
Alabama,8/22/2020,"8,676",8/15/2020,"51,991","1,935,262",2.69
Alabama,8/29/2020,"8,511",8/22/2020,"48,797","1,935,262",2.52
Alabama,9/5/2020,"8,901",8/29/2020,"44,546","1,935,262",2.3
Alabama,9/12/2020,"8,848",9/5/2020,"40,198","1,935,262",2.08
Alabama,9/19/2020,"8,679",9/12/2020,"37,431","1,935,262",1.93
Alabama,9/26/2020,"8,805",9/19/2020,"34,997","1,935,262",1.81
Alabama,10/3/2020,"7,732",9/26/2020,"30,716","1,935,262",1.59
Alabama,10/10/2020,"8,581",10/3/2020,"27,063","1,939,059",1.4
Alabama,10/17/2020,"7,964",10/10/2020,"43,493","1,939,059",2.24
Alabama,10/24/2020,"7,126",10/17/2020,"35,544","1,939,059",1.83
Alabama,10/31/2020,"7,060",10/24/2020,"31,693","1,939,059",1.63
Alaska,1/4/2020,981,12/28/2019,"10,177","306,493",3.32
Alaska,1/11/2020,"1,371",1/4/2020,"9,310","307,329",3.03
Alaska,1/18/2020,"1,181",1/11/2020,"9,984","307,329",3.25
Alaska,1/25/2020,"1,003",1/18/2020,"9,496","307,329",3.09
Alaska,2/1/2020,"1,122",1/25/2020,"9,579","307,329",3.12
Alaska,2/8/2020,980,2/1/2020,"9,161","307,329",2.98
Alaska,2/15/2020,915,2/8/2020,"9,343","307,329",3.04
Alaska,2/22/2020,773,2/15/2020,"8,864","307,329",2.88
Alaska,2/29/2020,874,2/22/2020,"8,938","307,329",2.91
Alaska,3/7/2020,815,2/29/2020,"8,266","307,329",2.69
Alaska,3/14/2020,"1,120",3/7/2020,"8,522","307,329",2.77
Alaska,3/21/2020,"7,847",3/14/2020,"8,512","307,329",2.77
Alaska,3/28/2020,"13,774",3/21/2020,"11,173","307,329",3.64
Alaska,4/4/2020,"14,590",3/28/2020,"19,845","307,329",6.46
Alaska,4/11/2020,"12,007",4/4/2020,"35,365","308,137",11.48
Alaska,4/18/2020,"12,201",4/11/2020,"48,096","308,137",15.61
Alaska,4/25/2020,"10,313",4/18/2020,"52,022","308,137",16.88
Alaska,5/2/2020,"8,718",4/25/2020,"49,893","308,137",16.19
Alaska,5/9/2020,"7,807",5/2/2020,"50,791","308,137",16.48
Alaska,5/16/2020,"7,741",5/9/2020,"50,049","308,137",16.24
Alaska,5/23/2020,"8,152",5/16/2020,"48,000","308,137",15.58
Alaska,5/30/2020,"7,452",5/23/2020,"47,344","308,137",15.36
